Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
20,0.25,0.013651,5.4671471118927,477.02,0.01354
20,0.3,0.01303,5.637439012527466,443.78,0.01308
20,0.35,0.013052,5.658996820449829,417.02,0.01306
20,0.4,0.013869,5.78432297706604,381.67,0.01353
20,0.45,0.012805,5.8858373165130615,350.62,0.01288
20,0.5,0.012822,6.000232458114624,320.89,0.01288
20,0.55,0.013336,6.079357624053955,325.73,0.01325
20,0.6,0.012782,6.173841953277588,339.87,0.01286
20,0.65,0.012986,6.299879550933838,352.86,0.01297
20,0.7,0.013448,6.395322322845459,367.36,0.01329
20,0.75,0.013353,6.4861061573028564,380.1,0.01302
20,0.8,0.012993,6.608304977416992,393.55,0.01302
20,0.85,0.012895,6.717700481414795,407.58,0.01298
20,0.9,0.01292,6.732513189315796,420.68,0.01306
20,0.95,0.012711,6.884804010391235,434.25,0.01286
20,0.96,0.012842,6.955631256103516,436.96,0.01301
20,0.97,0.012838,6.893832683563232,439.67,0.01299
20,0.98,0.012681,6.972421407699585,442.38,0.01287
20,0.99,0.012702,6.965333461761475,445.1,0.01293
25,0.05,0.013112,5.125924825668335,599.06,0.01306
25,0.1,0.014131,5.194228172302246,573.02,0.01407
25,0.15,0.013154,5.22220516204834,537.1,0.01309
25,0.2,0.013283,5.28134298324585,505.89,0.01325
25,0.25,0.013123,5.41133451461792,477.02,0.01307
25,0.3,0.01282,5.430626630783081,443.78,0.01295
25,0.35,0.013192,5.516207933425903,417.02,0.01323
25,0.4,0.012845,5.546557903289795,381.67,0.01293
25,0.45,0.013069,5.778479337692261,350.62,0.01301
25,0.5,0.012883,5.831758260726929,320.89,0.013
25,0.55,0.012943,5.9085023403167725,326.02,0.013
25,0.6,0.012789,5.989762544631958,340.19,0.01292
25,0.65,0.013045,6.042152166366577,353.2,0.0131
25,0.7,0.012819,6.119673013687134,367.72,0.01288
25,0.75,0.012931,6.156723499298096,380.48,0.01284
25,0.8,0.012709,6.286060094833374,393.96,0.01276
25,0.85,0.012949,6.3359291553497314,408.01,0.01295
25,0.9,0.012822,6.470360040664673,421.14,0.0129
25,0.95,0.012878,6.5467753410339355,434.72,0.01302
25,0.96,0.012761,6.569763422012329,437.44,0.01289
25,0.97,0.012659,6.6150243282318115,440.16,0.01286
25,0.98,0.012608,6.5245161056518555,442.88,0.01283
25,0.99,0.01274,6.541356563568115,445.59,0.01295
30,0.05,0.012882,4.939015865325928,599.06,0.01297
30,0.1,0.01313,5.0930867195129395,573.02,0.01321
30,0.15,0.013137,5.125695705413818,537.1,0.01314
30,0.2,0.01297,5.237220764160156,505.89,0.01302
30,0.25,0.012909,5.284017324447632,477.02,0.01301
30,0.3,0.012897,5.338959693908691,443.78,0.01303
30,0.35,0.012896,5.458799600601196,417.02,0.01295
30,0.4,0.013176,5.490264177322388,381.67,0.01313
30,0.45,0.013831,5.529851198196411,350.62,0.01353
30,0.5,0.013276,5.655104160308838,320.89,0.01325
30,0.55,0.013389,5.674579381942749,327.08,0.01315
30,0.6,0.012713,5.770520210266113,341.34,0.01274
30,0.65,0.012792,5.760050058364868,354.45,0.01285
30,0.7,0.012791,5.845316171646118,369.06,0.01292
30,0.75,0.012628,5.945837736129761,381.92,0.01276
30,0.8,0.01292,5.98143196105957,395.49,0.01305
30,0.85,0.012881,6.077668905258179,409.64,0.013
30,0.9,0.013031,6.134836196899414,422.85,0.01313
30,0.95,0.01287,6.139540433883667,436.54,0.01294
30,0.96,0.012678,6.238025903701782,439.27,0.01284
30,0.97,0.012646,6.248915910720825,442.01,0.01286
30,0.98,0.012785,6.192575216293335,444.75,0.013
30,0.99,0.012783,6.288567066192627,447.48,0.01303
35,0.05,0.012991,5.076124906539917,599.06,0.01309
35,0.1,0.013908,5.140765428543091,573.02,0.01375
35,0.15,0.012818,5.265962362289429,537.1,0.01282
35,0.2,0.013261,5.26020073890686,505.89,0.01321
35,0.25,0.014927,5.441609859466553,477.02,0.01444
35,0.3,0.012868,5.497893571853638,443.78,0.0129
35,0.35,0.013501,5.616438627243042,417.02,0.01334
35,0.4,0.013249,5.6598594188690186,381.67,0.01314
35,0.45,0.014146,5.806421756744385,350.62,0.01361
35,0.5,0.012892,5.930584907531738,320.89,0.013
35,0.55,0.013817,5.997057914733887,327.85,0.01346
35,0.6,0.013124,6.119808197021484,342.18,0.01308
35,0.65,0.012862,6.107017517089844,355.35,0.01299
35,0.7,0.012927,6.173691749572754,370.03,0.013
35,0.75,0.01271,6.336635589599609,382.96,0.01285
35,0.8,0.012928,6.38496732711792,396.6,0.01299
35,0.85,0.012902,6.481013774871826,410.81,0.01299
35,0.9,0.012793,6.613288402557373,424.09,0.0129
35,0.95,0.012774,6.705463171005249,437.84,0.01293
35,0.96,0.01267,6.741950511932373,440.59,0.01282
35,0.97,0.012663,6.755496263504028,443.34,0.01286
35,0.98,0.01289,6.790812730789185,446.09,0.01305
35,0.99,0.012716,6.81425404548645,448.84,0.01296
40,0.05,0.012707,4.9858269691467285,599.06,0.01295
40,0.1,0.015086,5.094393491744995,573.02,0.0149
40,0.15,0.015426,5.2996275424957275,537.1,0.01516
40,0.2,0.013165,5.3351969718933105,505.89,0.01322
