Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
2,0.45,0.010745,14.370384216308594,350.62,0.01051
2,0.5,0.010602,15.25092625617981,327.79,0.01043
2,0.55,0.010506,16.303837776184082,342.37,0.01032
2,0.6,0.010546,17.359832048416138,358.04,0.01038
2,0.65,0.010714,18.380568265914917,372.55,0.01053
2,0.7,0.010635,19.594118356704712,388.57,0.01041
2,0.75,0.010682,20.70272445678711,402.83,0.01051
2,0.8,0.010623,21.842316389083862,417.81,0.01046
2,0.85,0.010482,22.63705039024353,433.37,0.01038
2,0.9,0.010617,23.71414828300476,447.99,0.01045
2,0.95,0.010496,24.73112964630127,463.07,0.0104
2,0.96,0.010489,24.719964027404785,466.09,0.01035
2,0.97,0.010417,25.285959482192993,469.11,0.01031
2,0.98,0.010641,25.284510850906372,472.13,0.01055
2,0.99,0.010629,25.584622621536255,475.15,0.01055
3,0.05,0.010568,5.663407325744629,599.06,0.01057
3,0.1,0.01083,6.3508782386779785,573.02,0.01062
3,0.15,0.010821,7.010565996170044,537.1,0.01055
3,0.2,0.010585,7.736923456192017,505.89,0.01036
3,0.25,0.010617,8.465457677841187,477.02,0.01041
3,0.3,0.010604,9.27729845046997,443.78,0.0104
3,0.35,0.010922,9.920258283615112,417.02,0.01067
3,0.4,0.010815,10.634923219680786,381.67,0.01055
3,0.45,0.010673,11.35495638847351,350.62,0.01047
3,0.5,0.01084,12.129961729049683,320.89,0.01063
3,0.55,0.01057,12.69021224975586,333.78,0.01037
3,0.6,0.010546,13.345054626464844,348.67,0.01037
3,0.65,0.010594,14.193539381027222,362.4,0.0104
3,0.7,0.010641,14.944418907165527,377.64,0.01048
3,0.75,0.010441,15.665451526641846,391.12,0.01028
3,0.8,0.010407,16.273425102233887,405.32,0.01024
3,0.85,0.010523,16.902204751968384,420.09,0.01036
3,0.9,0.010651,17.67783212661743,433.93,0.01048
3,0.95,0.01052,18.315289735794067,448.24,0.01039
3,0.96,0.010625,18.473748683929443,451.1,0.01055
3,0.97,0.010544,18.755842208862305,453.96,0.01044
3,0.98,0.010583,18.76394534111023,456.82,0.01049
3,0.99,0.010446,19.07477593421936,459.68,0.01033
4,0.05,0.010654,5.62978196144104,599.06,0.01051
4,0.1,0.010536,5.939144611358643,573.02,0.01033
4,0.15,0.010598,6.48771858215332,537.1,0.0104
4,0.2,0.01109,7.023679733276367,505.89,0.01085
4,0.25,0.010566,7.602039098739624,477.02,0.01033
