Batch Size,Sequential Prop,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
4,0.6,0.3254857063293457,442.75,0.038,13.43327784538269,1778.31,0.038635,0.04109
4,0.65,0.30167245864868164,394.85,0.038,14.584233283996582,1857.97,0.03852,0.04111
4,0.7,0.3097410202026367,345.32,0.037,15.747238397598267,1936.0,0.038621,0.04112
4,0.75,0.28926777839660645,296.27,0.037,16.97598648071289,2014.52,0.038689,0.04148
4,0.8,0.2791171073913574,250.13,0.036,18.03384518623352,2095.0,0.038142,0.04091
4,0.85,0.270965576171875,200.13,0.035,19.227513551712036,2172.8,0.038353,0.04124
4,0.9,0.27710580825805664,150.72,0.033,20.266615629196167,2251.19,0.038309,0.04131
4,0.95,0.2820014953613281,101.66,0.027,21.497607946395874,2330.16,0.039158,0.04208
4,0.96,0.2733747959136963,92.28,0.025,21.701502323150635,2345.77,0.039244,0.04217
4,0.97,0.2766907215118408,84.27,0.021,22.029322385787964,2361.38,0.03973,0.04259
4,0.98,0.33065247535705566,76.41,0.016,22.158620357513428,2377.08,0.040977,0.04376
4,0.99,0.44215917587280273,68.22,0.003,22.406206369400024,2392.45,0.043644,0.04615
5,0.05,0.38419175148010254,980.77,0.039,0.9503374099731445,912.58,0.039349,0.04115
5,0.1,0.39296674728393555,932.13,0.039,1.870802402496338,991.62,0.039203,0.04129
5,0.15,0.37195301055908203,882.21,0.039,2.8037922382354736,1069.36,0.038877,0.04105
5,0.2,0.3681626319885254,833.38,0.039,3.728192090988159,1147.97,0.039466,0.04147
5,0.25,0.34899044036865234,785.1,0.039,4.655977964401245,1227.13,0.039072,0.04134
5,0.3,0.3511490821838379,735.72,0.039,5.604297161102295,1305.2,0.039407,0.04137
5,0.35,0.3494102954864502,686.89,0.039,6.567585468292236,1383.81,0.038598,0.04107
5,0.4,0.33574414253234863,640.13,0.039,7.4635279178619385,1463.67,0.039508,0.04166
5,0.45,0.32062721252441406,590.39,0.038,8.37393832206726,1541.61,0.038703,0.04091
5,0.5,0.326810359954834,541.1,0.038,9.29022479057312,1619.99,0.038816,0.04101
5,0.55,0.3187520503997803,492.13,0.038,10.299771070480347,1698.7,0.038972,0.04133
5,0.6,0.3057527542114258,442.75,0.038,11.26488447189331,1776.88,0.038824,0.0412
5,0.65,0.30299997329711914,394.85,0.038,12.225458860397339,1856.41,0.038402,0.04102
5,0.7,0.2991514205932617,345.32,0.037,13.192684412002563,1934.32,0.038791,0.04135
5,0.75,0.29246091842651367,296.27,0.036,14.190508127212524,2012.71,0.038352,0.04104
5,0.8,0.27727556228637695,250.13,0.036,15.146684646606445,2093.08,0.03859,0.04141
5,0.85,0.27486634254455566,200.13,0.035,16.05404233932495,2170.75,0.038175,0.04109
5,0.9,0.2791602611541748,150.72,0.032,17.080935955047607,2249.02,0.038304,0.04128
5,0.95,0.28874897956848145,101.66,0.027,17.957589149475098,2327.87,0.038789,0.04178
5,0.96,0.27582573890686035,92.28,0.025,18.171663284301758,2343.45,0.039521,0.0425
5,0.97,0.27398014068603516,84.27,0.022,18.331894874572754,2359.04,0.039875,0.04281
5,0.98,0.32724761962890625,76.41,0.016,18.514837503433228,2374.71,0.040977,0.04374
5,0.99,0.45908689498901367,68.22,0.003,18.80760931968689,2390.06,0.043728,0.0463
10,0.05,0.3928947448730469,980.77,0.039,0.5601673126220703,912.47,0.038892,0.04112
10,0.1,0.3823518753051758,932.13,0.039,1.1218762397766113,991.27,0.038951,0.04101
10,0.15,0.3543715476989746,882.21,0.039,1.6680114269256592,1068.76,0.039344,0.04104
10,0.2,0.35702943801879883,833.38,0.039,2.232560873031616,1147.13,0.039534,0.04129
10,0.25,0.35111403465270996,785.1,0.039,2.787318468093872,1226.04,0.039099,0.04127
10,0.3,0.36516594886779785,735.72,0.039,3.321072816848755,1303.87,0.039137,0.04116
10,0.35,0.35427236557006836,686.89,0.039,3.8832147121429443,1382.24,0.039119,0.0413
10,0.4,0.3345620632171631,640.13,0.039,4.44290828704834,1461.86,0.038715,0.04099
10,0.45,0.3204934597015381,590.39,0.038,4.9721856117248535,1539.55,0.038956,0.04115
10,0.5,0.34139537811279297,541.1,0.038,5.567967176437378,1617.69,0.038612,0.04104
10,0.55,0.31580185890197754,492.13,0.038,6.122080087661743,1696.15,0.038635,0.04098
10,0.6,0.31070446968078613,442.75,0.038,6.713485956192017,1774.08,0.03874,0.04124
10,0.65,0.30478620529174805,394.85,0.038,7.262669086456299,1853.37,0.038659,0.04127
10,0.7,0.3020949363708496,345.32,0.037,7.817331552505493,1931.04,0.038726,0.04127
10,0.75,0.29608869552612305,296.27,0.037,8.395592212677002,2009.19,0.03858,0.04127
10,0.8,0.2867918014526367,250.13,0.036,9.000016450881958,2089.31,0.038387,0.04113
10,0.85,0.27063989639282227,200.13,0.034,9.58851432800293,2166.74,0.038241,0.04108
10,0.9,0.28108739852905273,150.72,0.032,10.07945466041565,2244.77,0.038023,0.041
10,0.95,0.2778968811035156,101.66,0.028,10.6939218044281,2323.37,0.039181,0.04212
10,0.96,0.2800099849700928,92.28,0.025,10.745419979095459,2338.9,0.039066,0.04205
10,0.97,0.27912282943725586,84.27,0.022,10.85298466682434,2354.44,0.040461,0.04337
10,0.98,0.3280456066131592,76.41,0.016,10.997374296188354,2370.06,0.040507,0.04335
10,0.99,0.4414939880371094,68.22,0.003,11.131648778915405,2385.36,0.043406,0.04593
15,0.05,0.38585853576660156,980.77,0.04,0.4378032684326172,912.69,0.039184,0.04151
15,0.1,0.382049560546875,932.13,0.039,0.8619616031646729,991.57,0.039751,0.04153
15,0.15,0.37213945388793945,882.21,0.039,1.2853350639343262,1069.14,0.038981,0.04109
15,0.2,0.35562634468078613,833.38,0.039,1.706111192703247,1147.59,0.038628,0.04108
15,0.25,0.3390333652496338,785.1,0.039,2.137200117111206,1226.59,0.038743,0.04087
15,0.3,0.3697366714477539,735.72,0.039,2.5302836894989014,1304.49,0.039206,0.04135
15,0.35,0.3547794818878174,686.89,0.039,3.0056633949279785,1382.94,0.039053,0.0412
15,0.4,0.33651280403137207,640.13,0.039,3.3848423957824707,1462.64,0.039343,0.04145
15,0.45,0.3246734142303467,590.39,0.039,3.8342995643615723,1540.42,0.038756,0.04111
15,0.5,0.33127880096435547,541.1,0.038,4.231319904327393,1618.64,0.038684,0.04107
15,0.55,0.32441139221191406,492.13,0.038,4.733049392700195,1697.18,0.038465,0.04091
15,0.6,0.3227531909942627,442.75,0.038,5.121384859085083,1775.2,0.038909,0.04135
15,0.65,0.3021085262298584,394.85,0.037,5.557626962661743,1854.57,0.038682,0.04111
15,0.7,0.2952566146850586,345.32,0.037,6.06223726272583,1932.32,0.038451,0.041
15,0.75,0.29135608673095703,296.27,0.037,6.437744617462158,2010.55,0.038445,0.04118
15,0.8,0.2752530574798584,250.13,0.036,6.82629132270813,2090.75,0.03822,0.04103
15,0.85,0.2803986072540283,200.13,0.035,7.309806823730469,2168.26,0.038269,0.0412
