Batch Size,Sequential Prop,Total Time,Total Peak Memory,Total Loss
40,0.2,5.08463454246521,2384.18,0.04132
40,0.25,5.200015306472778,2239.87,0.04121
40,0.3,5.330098390579224,2091.18,0.04108
40,0.35,5.451633453369141,1944.67,0.04134
40,0.4,5.467426776885986,1802.36,0.04139
40,0.45,5.670799255371094,1653.4,0.04136
40,0.5,5.77924370765686,1624.0,0.04151
40,0.55,5.936259508132935,1703.01,0.04119
40,0.6,5.90034818649292,1781.49,0.04103
40,0.65,6.0403289794921875,1861.33,0.04127
40,0.7,6.218228340148926,1939.55,0.04108
40,0.75,6.399335622787476,2018.25,0.04108
40,0.8,6.523412466049194,2098.92,0.04108
40,0.85,6.681514024734497,2176.9,0.04131
40,0.9,6.855538606643677,2255.47,0.0413
40,0.95,7.087233066558838,2334.62,0.04189
40,0.96,7.236634016036987,2350.27,0.04256
40,0.97,7.1772847175598145,2365.91,0.04307
40,0.98,7.189217567443848,2381.65,0.04332
40,0.99,7.339177846908569,2397.06,0.04579
45,0.05,4.8774778842926025,2825.05,0.04129
45,0.1,4.796991348266602,2680.47,0.0409
45,0.15,4.90627908706665,2530.69,0.04106
45,0.2,5.095359563827515,2384.18,0.04109
45,0.25,5.150723457336426,2239.87,0.04116
45,0.3,5.2709736824035645,2091.18,0.04109
45,0.35,5.507904767990112,1944.67,0.04118
45,0.4,5.377045392990112,1802.36,0.04139
45,0.45,5.515717506408691,1653.4,0.04159
45,0.5,5.610340118408203,1624.88,0.04102
45,0.55,5.6988303661346436,1703.97,0.04128
45,0.6,5.675993204116821,1782.52,0.04126
45,0.65,5.7656941413879395,1862.44,0.04124
45,0.7,5.877873420715332,1940.73,0.0414
45,0.75,5.9918532371521,2019.5,0.04125
45,0.8,6.184503793716431,2100.25,0.04131
45,0.85,6.277247667312622,2178.3,0.04117
45,0.9,6.3941264152526855,2256.95,0.0414
45,0.95,6.617841958999634,2336.18,0.04181
45,0.96,6.70006537437439,2351.84,0.04225
45,0.97,6.852540016174316,2367.49,0.04268
45,0.98,6.916430950164795,2383.25,0.04368
45,0.99,7.0095484256744385,2398.67,0.04606
50,0.05,4.755089044570923,2825.05,0.04112
50,0.1,4.786494970321655,2680.47,0.041
50,0.15,4.81934928894043,2530.69,0.04127
50,0.2,4.928478479385376,2384.18,0.04125
50,0.25,5.0009605884552,2239.87,0.04127
50,0.3,5.139974594116211,2091.18,0.04098
50,0.35,5.136446475982666,1944.67,0.04107
50,0.4,5.260936498641968,1802.36,0.04105
50,0.45,5.278475522994995,1653.4,0.04106
50,0.5,5.5217204093933105,1626.11,0.04104
50,0.55,5.52945351600647,1705.3,0.04092
